DOID_1	DOID_2
DOID:10652	DOID:5419
DOID:10652	DOID:1596
DOID:10652	DOID:3312
DOID:10652	DOID:1826
DOID:10652	DOID:9351
DOID:2355	DOID:289
DOID:2841	DOID:7148
DOID:2841	DOID:9351
DOID:2841	DOID:9970
DOID:2841	DOID:3083
DOID:3312	DOID:5419
DOID:12930	DOID:13809
DOID:12930	DOID:5844
DOID:12930	DOID:9351
DOID:12930	DOID:9455
DOID:12930	DOID:9970
DOID:3083	DOID:7148
DOID:3083	DOID:5844
DOID:12558	DOID:12930
DOID:9351	DOID:9970
DOID:9351	DOID:9455
DOID:289	DOID:7148
DOID:1826	DOID:2377
DOID:1826	DOID:5419
DOID:12858	DOID:1596
DOID:12858	DOID:1826
DOID:12858	DOID:3312
DOID:12858	DOID:5419
DOID:13809	DOID:9351
DOID:13809	DOID:9455
DOID:13809	DOID:5844
DOID:13809	DOID:9970
DOID:12336	DOID:9970
DOID:12336	DOID:13809
DOID:12336	DOID:1485
DOID:9455	DOID:9970
DOID:12365	DOID:1826
DOID:12365	DOID:2355
DOID:1596	DOID:3312
DOID:1596	DOID:5419
DOID:2377	DOID:9351
DOID:5844	DOID:9351
DOID:5844	DOID:9970
DOID:5844	DOID:9455
DOID:898	DOID:9351
DOID:11612	DOID:9970
DOID:11612	DOID:9351
DOID:11612	DOID:5844
DOID:11612	DOID:9455
DOID:7148	DOID:9351
DOID:11335	DOID:12930
DOID:11335	DOID:3083
DOID:12176	DOID:1459
DOID:2349	DOID:326
DOID:8469	DOID:552
DOID:9588	DOID:9471
DOID:1936	DOID:326
DOID:848	DOID:9120
DOID:6132	DOID:552
DOID:633	DOID:423
DOID:2352	DOID:848
DOID:1564	DOID:9471
DOID:552	DOID:9471
DOID:615	DOID:552
DOID:12176	DOID:419
DOID:1826	DOID:326
DOID:83	DOID:4989
DOID:1936	DOID:8469
DOID:83	DOID:1826
DOID:11476	DOID:0050700
