stat_assos: keys: 35 values: 26 associations: 68
reading sim files completed!
number of disease pairs which all methods can cal: stat_assos: keys: 4899 values: 4899 associations: 12002550
number of benchmark disease pairs which all methods can cal: 61
x time
d1	d2	icod	suntopo	funsim	bog	gomf	label
umls:C0424688	umls:C0027726	0.00146113475784659	0.461777925491333	5e-324	0.0	0.0025440605483002094	0
umls:C1968561	umls:C3150974	0.0	0.216720461845398	5e-324	0.0	0.000437636761487965	0
umls:C0041408	umls:C1507149	0.00167858565691859	0.42447766661644	5e-324	0.0	0.0006867280173431846	0
umls:C0035335	umls:C0241908	0.0	0.276971936225891	5e-324	0.0	0.0012166167176063914	0
umls:C0020179	umls:C0005586	0.00328989489935338	0.5	0.12223404669122191	0.0552595406770706	0.0030231552642490814	1
umls:C0020179	umls:C0011570	0.00442768260836601	0.456108003854752	0.04661594548934101	0.0	0.003080638742099932	1
umls:C0020179	umls:C0014544	0.00294050481170416	0.5	0.11163449037667839	0.047547772526741	0.003355716376392787	1
umls:C1969081	umls:C2751898	0.0130382403731346	0.333964139223099	5e-324	0.0	0.0009528346831824678	0
umls:C1863512	umls:C3809470	0.0	0.253909528255463	5e-324	0.0	0.005063291139240506	0
umls:C0039584	umls:C0272340	0.0	0.355802595615387	5e-324	0.0	0.0002901494269548818	0
umls:C0236736	umls:C0525041	0.00389905390329659	0.5	0.022008588015044392	0.00906474608927965	0.0048627210489898785	0
umls:C0520459	umls:C1865373	0.00521003501489758	0.390361696481705	5e-324	0.0	0.0005511163020203274	0
umls:C0265326	umls:C0342791	0.0	0.044098436832428	5e-324	0.0	0.0002901494269548818	0
umls:C0018213	umls:C0030297	0.00250305468216538	0.5	0.03572420249687612	0.0353142395615578	0.0017836535212249803	0
umls:C0162311	umls:C0006110	0.00290318951010704	0.478358685970306	5e-324	0.0	0.014240665298992393	0
umls:C0345050	umls:C0344490	0.00719809578731656	0.388835102319717	5e-324	0.0	0.002541445970860259	0
umls:C0158683	umls:C3808739	0.0	0.472204834222794	5e-324	0.0	0.0007811020426176335	0
umls:C0158683	umls:C2677086	0.0	0.367587953805923	5e-324	0.0	0.0007811020426176335	0
umls:C4014821	umls:C1861923	0.0	0.383706748485565	5e-324	0.0	0.0002901494269548818	0
umls:C0338451	umls:C1849453	0.0	0.299314081668854	5e-324	0.0	0.0012072825498293585	0
umls:C0338451	umls:C2676231	0.00340681965462863	0.482619792222977	5e-324	0.0	0.0007518807793284836	0
umls:C2937288	umls:C0023860	0.0	0.465167909860611	5e-324	0.0	0.000437636761487965	0
umls:C2937288	umls:C3280471	0.0355191268026829	0.253609657287598	0.16540392708026	0.0	0.0002901494269548818	0
umls:C1856058	umls:C2677326	0.0	0.28804874420166	5e-324	0.0	0.0008565310492505353	0
umls:C0556346	umls:C1835828	0.0	0.301069378852844	5e-324	0.0	0.0005367707573473978	0
umls:C2675646	umls:C0265965	0.0	0.435755461454391	5e-324	0.0	0.00127539337623871	0
umls:C2675646	umls:C0950124	0.00349766341969371	0.187196493148804	5e-324	0.0	0.005736939120773679	0
umls:C1832334	umls:C0024117	0.00273423525504768	0.459745317697525	5e-324	0.0	0.00414262926351509	0
umls:C3151431	umls:C3278384	0.0	0.304302275180817	5e-324	0.0	0.0029455081001472753	0
umls:C0034350	umls:C3714514	0.0	0.409772038459778	5e-324	0.0	0.0002901494269548818	0
umls:C0034350	umls:C1859372	0.0	0.365798473358154	5e-324	0.0	0.0007833920877399138	0
umls:C0011616	umls:C1846168	0.003234006697312	0.465543866157532	0.002868764304838464	0.0	0.002213386013208094	0
umls:C0036420	umls:C0265259	0.0	0.343094170093536	5e-324	0.0	0.0015398223437558716	0
umls:C0268162	umls:C0221032	0.0	0.410829484462738	5e-324	0.0	0.0007833920877399138	0
umls:C3550904	umls:C0162532	0.0	0.391960799694061	5e-324	0.0	0.0002901494269548818	0
umls:C2675128	umls:C0019693	0.00158043939154595	0.452944189310074	0.005691132702256088	0.0	0.0010420126443238446	0
umls:C0079154	umls:C1876185	0.0	0.367567300796509	5e-324	0.0	0.0002901494269548818	0
umls:C0859976	umls:C1970822	0.0	0.41814124584198	5e-324	0.0	0.0005772681907421552	0
umls:C3809468	umls:C1852406	0.0025157353375107	0.303356766700745	5e-324	0.0	0.000437636761487965	0
umls:C0158981	umls:C0242383	0.00268687796778977	0.376350939273834	5e-324	0.0	0.004604858100706932	0
umls:C1861678	umls:C0268141	0.0	0.39304381608963	5e-324	0.0	0.002171552660152009	0
umls:C0206720	umls:C4014628	0.0	0.180934429168701	5e-324	0.0	0.0002901494269548818	0
umls:C0010691	umls:C0339527	0.0	0.42903545498848	5e-324	0.0	0.0004130555390657843	0
umls:C0010692	umls:C0005779	0.00353167788125575	0.449719935655594	0.010003784337126561	0.0	0.001822793696884515	0
umls:C0432222	umls:C3495426	0.0	0.346069723367691	5e-324	0.0	0.0021917273529942177	0
umls:C0152264	umls:C0265345	0.0	0.152308970689774	5e-324	0.0	0.0002901494269548818	0
umls:C0020429	umls:C1306710	0.0	0.488493025302887	5e-324	0.0	0.001087336538301205	0
umls:C0242966	umls:C3280155	0.0	0.0898344814777374	5e-324	0.0	0.0002901494269548818	0
umls:C0399372	umls:C3887939	0.0	0.164666652679443	5e-324	0.0	0.0002901494269548818	0
umls:C0013922	umls:C1264041	0.0214037876576185	0.394070714712143	0.4963073887887819	0.0	0.0002901494269548818	0
umls:C0023521	umls:C0030846	0.0	0.433370113372803	5e-324	0.0	0.0012308510435534454	0
umls:C1848599	umls:C1970441	0.0	0.369406908750534	5e-324	0.0	0.0002901494269548818	0
umls:C0795996	umls:C2676231	0.0	0.421156406402588	5e-324	0.0	0.0009528346831824678	0
umls:C1864902	umls:C1854896	0.0	0.357672691345215	5e-324	0.0	0.0002901494269548818	0
umls:C0026603	umls:C0032339	0.0178290922194719	0.390059679746628	5e-324	0.0	0.0009935152876671548	0
umls:C0029456	umls:C0878544	0.0026269422378391	0.939311504364014	0.24869122973323404	0.244329959154129	0.0033559546355915373	1
umls:C1970859	umls:C1834752	0.01264554169029	0.378213822841644	0.023724929073312636	0.0	0.0010646045961527925	0
umls:C1854336	umls:C1851413	0.0	0.305939972400665	5e-324	0.0	0.0002901494269548818	0
umls:C1854336	umls:C0006261	0.0	0.333070874214172	5e-324	0.0	0.047619047619047616	0
umls:C0033835	umls:C3151079	0.0	0.0629612505435944	5e-324	0.0	0.0002901494269548818	0
umls:C0018991	umls:C1833102	0.0	0.384216010570526	5e-324	0.0	0.0003638930942214234	0
umls:C0018188	umls:C0242343	0.0	0.354403734207153	5e-324	0.0	0.0003638930942214234	0
umls:C0011570	umls:C0005586	0.00661612208932638	0.894272208213806	0.07390556316128642	0.0207478851079941	0.0031180912650813847	1
umls:C0342684	umls:C0020619	0.0	0.384223997592926	5e-324	0.0	0.0014280915168983575	0
umls:C2674218	umls:C0270959	0.0	0.186302274465561	5e-324	0.0	0.0009528346831824678	0
umls:C1834235	umls:C4041080	0.0	0.377884447574615	5e-324	0.0	0.000437636761487965	0
umls:C0003873	umls:C0011849	0.00265205255709589	0.96946656703949	0.12205283339440852	0.0624020732939243	0.0026831291996267472	1
umls:C0023798	umls:C0232347	0.00682177906855941	0.469386011362076	5e-324	0.0	0.0002901494269548818	0
umls:C0410539	umls:C4015624	0.0	0.391587495803833	5e-324	0.0	0.000437636761487965	0
umls:C3698541	umls:C2931434	0.0	0.457114398479462	5e-324	0.0	0.004050236005265055	0
umls:C0035411	umls:C1853566	0.0	0.288514733314514	5e-324	0.0	0.0009528346831824678	0
umls:C0040038	umls:C0205824	0.00297300121746957	0.47905308008194	0.01982748027371574	0.0	0.0016560643398741157	0
umls:C0406585	umls:C0220743	0.0	0.320159792900085	5e-324	0.0	0.0007833920877399138	0
umls:C1866294	umls:C2675227	0.0	0.224694281816483	5e-324	0.0	0.0017482517482517483	0
umls:C0040028	umls:C3489726	0.00785766448825598	0.43025803565979	0.043414259142531504	0.0	0.003032449798487637	0
umls:C0085090	umls:C0162770	0.00417771609500051	0.395591259002686	5e-324	0.0	0.0015649692402571547	0
umls:C0010308	umls:C1835819	0.00301733496598899	0.399597823619843	5e-324	0.0	0.001787128241337176	0
umls:C0032827	umls:C1836255	0.0	0.199525505304337	5e-324	0.0	0.0002901494269548818	0
umls:C0032827	umls:C1861368	0.0	0.396348625421524	5e-324	0.0	0.0002901494269548818	0
umls:C2678485	umls:C3178805	0.0	0.355327069759369	5e-324	0.0	0.0006214920550686748	0
umls:C0014175	umls:C0346421	0.00295198312960565	0.478555828332901	0.01388399325839894	0.0	0.005507802976547042	0
umls:C0014175	umls:C0265259	0.00144169409759343	0.438743859529495	5e-324	0.0	0.0013007551467684847	0
umls:C0014175	umls:C0003873	0.00245482893660665	0.972457885742188	0.2270727788021367	0.179748401045799	0.00246451068065394	1
umls:C0014175	umls:C0026764	0.00266827084124088	0.5	0.1093627758658175	0.0133565068244934	0.003222696409552269	0
umls:C2242703	umls:C2931254	0.0	0.171590477228165	5e-324	0.0	0.0002901494269548818	0
umls:C2931228	umls:C1264000	0.0	0.208352327346802	5e-324	0.0	0.000437636761487965	0
umls:C1842675	umls:C0011991	0.001875568064861	0.293082535266876	5e-324	0.0	0.000437636761487965	0
umls:C1857809	umls:C3553762	0.0	0.348982512950897	5e-324	0.0	0.0007833920877399138	0
umls:C0162533	umls:C0432201	0.0	0.281039834022522	5e-324	0.0	0.0003491443607681151	0
umls:C1834523	umls:C0008412	0.0107858227565885	0.395951062440872	5e-324	0.0	0.0007102183801819782	0
umls:C3808981	umls:C0005411	0.113213673233986	0.37102735042572	5e-324	0.0	0.0002901494269548818	0
umls:C0017178	umls:C0030481	0.0	0.429061740636826	5e-324	0.0	0.001218974783327015	0
umls:C1970431	umls:C1860339	0.00222502928227186	0.345681726932526	5e-324	0.0	0.008914470554657026	0
umls:C0238261	umls:C1856476	0.0	0.229907333850861	5e-324	0.0	0.000437636761487965	0
umls:C1860042	umls:C0237873	0.0	0.322491109371185	5e-324	0.0	0.0002901494269548818	0
umls:C0036400	umls:C0241908	0.0	0.197414666414261	5e-324	0.0	0.0003638930942214234	0
umls:C1969443	umls:C1843896	0.00766653846949339	0.459853202104568	5e-324	0.0	0.001694915254237288	0
umls:C3532243	umls:C0017665	0.0	0.370771199464798	5e-324	0.0	0.001937379201101195	0
umls:C3554439	umls:C0175683	0.0	0.296133548021317	5e-324	0.0	0.001694915254237288	0
umls:C0265265	umls:C1334615	0.00251892395317554	0.292973518371582	0.391484540505061	0.0	0.0002901494269548818	0
umls:C1843832	umls:C4015701	0.0	0.394699811935425	5e-324	0.0	0.0007833920877399138	0
umls:C1843832	umls:C0334579	0.0	0.140527933835983	5e-324	0.0	0.0273972602739726	0
umls:C1846168	umls:C2751831	0.0	0.394799500703812	5e-324	0.0	0.0008565310492505353	0
umls:C0031090	umls:C0042842	0.00382943544536829	0.419116854667664	5e-324	0.0	0.0015713811125603965	0
umls:C0020621	umls:C3809210	0.0	0.327379941940308	5e-324	0.0	0.0003518047595530108	0
umls:C2752074	umls:C0020621	0.0	0.378631323575974	5e-324	0.0	0.00806638074858552	0
umls:C1859309	umls:C1510460	0.0	0.225238800048828	5e-324	0.0	0.007469424334598227	0
umls:C0005138	umls:C3280799	0.0	0.327249825000763	5e-324	0.0	0.0003606126642098864	0
umls:C1852297	umls:C3277235	0.0	0.397287666797638	5e-324	0.0	0.015267175572519083	0
umls:C2675014	umls:C3539013	0.0	0.080721527338028	5e-324	0.0	0.0002901494269548818	0
umls:C0406468	umls:C0023532	0.0	0.030174046754837	5e-324	0.0	0.006312082052256684	0
umls:C0268155	umls:C1854336	0.0	0.211581438779831	5e-324	0.0	0.0008565310492505353	0
umls:C0007193	umls:C0011849	0.00391630548983812	0.816898822784424	0.12119697592127533	0.148412719368935	0.003428134729018542	1
umls:C0007193	umls:C0020474	0.00529419165104628	0.5	0.04728203826430992	0.0209612026810646	0.0008874669885738123	1
umls:C0007193	umls:C0027051	0.0026203456800431	0.978328227996826	0.28403974583938907	0.213279843330383	0.0031173419907244994	1
umls:C0007193	umls:C0023794	0.00230878265574574	0.484069496393204	0.024666811585986877	0.0	0.0016446321679813854	1
umls:C0007193	umls:C0028754	0.00240844977088273	0.978328227996826	0.1463185139259832	0.033385556191206	0.002640170550946554	1
umls:C2931833	umls:C1306710	0.0	0.220202803611755	5e-324	0.0	0.0008565310492505353	0
umls:C0011334	umls:C3501265	0.00472274841740727	0.474277764558792	5e-324	0.0	0.0024816892030554067	0
umls:C1853102	umls:C0751781	0.0	0.409883260726929	5e-324	0.0	0.0002901494269548818	0
umls:C1863634	umls:C1843366	0.0	0.035660058259964	5e-324	0.0	0.0008406893652795292	0
umls:C0002514	umls:C1844376	0.0	0.388042628765106	0.02908596922618397	0.0	0.012719233622677694	0
umls:C0392514	umls:C2931838	0.0	0.265526175498962	5e-324	0.0	0.0038247548251169783	0
umls:C0023891	umls:C0021843	0.0033127274364233	0.424409836530685	0.04405044888004277	0.0	0.003207098271352775	0
umls:C0027889	umls:C2931072	0.00298312422819436	0.429548621177673	5e-324	0.0	0.0005801481387636494	0
umls:C0027889	umls:C3150914	0.0	0.084590882062912	5e-324	0.0	0.005007509621738891	0
umls:C3810043	umls:C3807521	0.00470266165211797	0.46094137430191	5e-324	0.0	0.000437636761487965	0
umls:C3810043	umls:C1306837	0.00246669608168304	0.326177954673767	5e-324	0.0	0.000437636761487965	0
umls:C3810043	umls:C1867299	0.0	0.163396596908569	5e-324	0.0	0.0007833920877399138	0
umls:C1847627	umls:C0265343	0.0	0.212897539138794	5e-324	0.0	0.0008681133854611907	0
umls:C0025472	umls:C1168401	0.00352143286727369	0.482658237218857	0.02534731937940391	0.0	0.008363105296342325	0
umls:C0858252	umls:C0205824	0.0051805516704917	0.484489619731903	0.18117211298916056	0.0	0.004308662546096724	0
umls:C0206630	umls:C2751083	0.0182695183902979	0.297938764095306	5e-324	0.0	0.0002901494269548818	0
umls:C1849554	umls:C0520739	0.0	0.420441150665283	5e-324	0.0	0.000437636761487965	0
umls:C1968843	umls:C3550913	0.0	0.333257675170898	5e-324	0.0	0.0002901494269548818	0
umls:C1852324	umls:C0398755	0.0	0.262030988931656	5e-324	0.0	0.0007833920877399138	0
umls:C0265338	umls:C1867020	0.00312687992118299	0.325412541627884	5e-324	0.0	0.007261467433506034	0
umls:C0856761	umls:C0002622	0.00598126696422696	0.464286506175995	0.02724203408057919	0.0	0.00804737060991194	0
umls:C3160718	umls:C0030286	0.00161497679073364	0.456716299057007	5e-324	0.0	0.0030398652676492674	0
umls:C2931838	umls:C2749019	0.0	0.361725807189941	5e-324	0.0	0.000437636761487965	0
umls:C0031028	umls:C2931599	0.0	0.346500933170319	5e-324	0.0	0.003582007403703035	0
umls:C4013035	umls:C1969038	0.0	0.371572911739349	5e-324	0.0	0.0002901494269548818	0
umls:C0013595	umls:C3266101	0.0	0.453205496072769	5e-324	0.0	0.000437636761487965	0
umls:C0334582	umls:C3553842	0.0	0.190153479576111	5e-324	0.0	0.000437636761487965	0
umls:C0334582	umls:C0238198	0.0	0.348212003707886	0.05042428636265508	0.0	0.002546550728775764	0
umls:C0016045	umls:C1856301	0.0	0.318651616573334	5e-324	0.0	0.0002901494269548818	0
umls:C2678051	umls:C2750405	0.0	0.2499078810215	5e-324	0.0	0.0002901494269548818	0
umls:C3888065	umls:C1835923	0.0	0.386141091585159	5e-324	0.0	0.0002901494269548818	0
umls:C1859133	umls:C0410180	0.0	0.229002177715302	5e-324	0.0	0.0006214920550686748	0
umls:C0002893	umls:C2936921	0.0	0.456850200891495	5e-324	0.0	0.0030605266085211727	0
umls:C1837610	umls:C1832475	0.0	0.169235020875931	5e-324	0.0	0.0007833920877399138	0
umls:C0018939	umls:C1836447	0.00917027238756418	0.43755516409874	5e-324	0.0	0.0003884743166436039	0
umls:C1843181	umls:C1835819	0.0	0.392639756202698	5e-324	0.0	0.000437636761487965	0
umls:C0162674	umls:C0007193	0.00690266024321318	0.5	0.0643482053428599	0.0252661220729351	0.006725682544765734	1
umls:C2748515	umls:C2675440	0.0	0.110591471195221	5e-324	0.0	0.0002901494269548818	0
umls:C0035258	umls:C3150970	0.00323816295713186	0.402020841836929	5e-324	0.0	0.0018828477375711333	0
umls:C1843015	umls:C1846220	0.0	0.325279653072357	5e-324	0.0	0.0002901494269548818	0
umls:C0017160	umls:C2936858	0.0	0.378567576408386	5e-324	0.0	0.000437636761487965	0
umls:C0268199	umls:C1449861	0.0	0.461810261011124	5e-324	0.0	0.002123517782737796	0
umls:C0268524	umls:C3715155	0.0	0.0948612689971924	5e-324	0.0	0.0017482517482517483	0
umls:C1860752	umls:C1860213	0.030974879860878	0.422540992498398	5e-324	0.0	0.0006214920550686748	0
umls:C0010414	umls:C0020595	0.0	0.230806767940521	5e-324	0.0	0.0005367707573473978	0
umls:C0013182	umls:C0030443	0.0011261748149991	0.427781581878662	5e-324	0.0	0.001713041566642388	0
umls:C0013182	umls:C0027962	0.00368493236601353	0.433634519577026	5e-324	0.0	0.0014057987535071991	0
umls:C0023890	umls:C3805412	0.00315332389436662	0.445244908332825	5e-324	0.0	0.0007101381835594193	0
umls:C1861785	umls:C0036920	0.00336770713329315	0.367889761924744	5e-324	0.0	0.0009756399929112083	0
umls:C1834144	umls:C3150928	0.0	0.290735185146332	5e-324	0.0	0.0002901494269548818	0
umls:C0151636	umls:C0342727	0.00919605419039726	0.344076812267303	5e-324	0.0	0.0008565310492505353	0
umls:C2678416	umls:C1843181	0.0	0.3370041847229	5e-324	0.0	0.0002901494269548818	0
umls:C0022603	umls:C0030920	0.00292694778181612	0.422935396432877	5e-324	0.0	0.0018601050275211715	0
umls:C0007137	umls:C0011875	0.00260210735723376	0.5	0.09343148596645243	0.0219569392502308	0.0027117435582841116	0
umls:C0431943	umls:C4014970	0.0	0.384413778781891	5e-324	0.0	0.000437636761487965	0
umls:C1837029	umls:C0520679	0.00364477792754769	0.374250411987305	5e-324	0.0	0.000437636761487965	0
umls:C3178805	umls:C0856823	0.0131100518628955	0.313454419374466	0.008103062520704604	0.0	0.001350543215717108	0
